[11:35:56 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[11:36:06 1/6/2026] User: officer_01 | Action: ISSUE_LOCAL_CERT | Info: Success
[11:36:15 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780288556300
[11:36:30 1/6/2026] User: Can Bo Cong An Phuong | Action: SIGN_SUCCESS_LOCAL | Info: XacNhanCuTru_052201007777.pdf
[11:36:47 1/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[11:36:59 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[11:37:06 1/6/2026] User: officer_01 | Action: ISSUE_REMOTE_CERT | Info: Success
[11:37:10 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780288556300
[11:37:15 1/6/2026] User: SYSTEM | Action: REVOKE_OLD_SIG | Info: Revoked old REMOTE signature for file hash 6c45a6a262e6cf98e75558fe79bedee507f23c2ee8e5ae394d228a58682e4ec0
[11:37:19 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[11:37:40 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780288556300
[11:37:45 1/6/2026] User: SYSTEM | Action: REVOKE_OLD_SIG | Info: Revoked old REMOTE signature for file hash 6c45a6a262e6cf98e75558fe79bedee507f23c2ee8e5ae394d228a58682e4ec0
[11:37:50 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[11:38:03 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780288619418
[11:38:11 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[11:42:26 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[11:46:48 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[11:46:52 1/6/2026] User: officer_01 | Action: REJECT | Info: Từ chối hồ sơ 1780288946812: bbbbbbbb
[11:48:48 1/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[11:48:48 1/6/2026] User: officer_01 | Action: REVOKE_REMOTE_CERT | Info: Thu hồi chứng thư Remote/HSM và các chữ ký Remote liên quan
[17:04:50 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[17:04:59 1/6/2026] User: officer_01 | Action: ISSUE_REMOTE_CERT | Info: Success
[17:05:04 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780308290146
[17:05:09 1/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[17:05:17 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[17:05:38 1/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[17:05:38 1/6/2026] User: officer_01 | Action: REVOKE_REMOTE_CERT | Info: Thu hồi chứng thư Remote/HSM và các chữ ký Remote liên quan
[17:17:09 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
